qp_id,material_id,time_id,temperature,strain_rate,force_field,replica_id,strain_00,strain_01,strain_02,strain_11,strain_12,strain_22,stess-sample_00,stess-sample_01,stess-sample_02,stess-sample_11,stess-sample_12,stess-sample_22
4000,g0,6-1,300,0.001,opls,3,1.651757952753171e-06,2.639110349331765e-06,1.423490407260601e-06,2.895132986648033e-06,1.064110004433426e-06,3.759784861636822e-07,-220.7881497803461,-73.22043808884771,223.1812539624359,49.53902195459201,-100.9616358899088,27.36710069485073
4000,g0,6-1,300,0.001,opls,3,1.651757952753171e-06,2.639110349331765e-06,1.423490407260601e-06,2.895132986648033e-06,1.064110004433426e-06,3.759784861636822e-07,-266.3877398296204,-215.4692164471082,209.131693675351,-6.949982651291756,-1.824324870119942,57.35516894015381
4000,g0,6-1,300,0.001,opls,3,1.651757952753171e-06,2.639110349331765e-06,1.423490407260601e-06,2.895132986648033e-06,1.064110004433426e-06,3.759784861636822e-07,-272.5472475231261,-319.8361079297738,157.5859885229836,-64.6628311334928,75.41329458360022,70.77463428779818
4000,g0,6-1,300,0.001,opls,3,1.651757952753171e-06,2.639110349331765e-06,1.423490407260601e-06,2.895132986648033e-06,1.064110004433426e-06,3.759784861636822e-07,-229.3015750296415,-399.0228178689919,123.0871403709115,-146.3410870352756,108.2080573066266,55.93152121463021
4000,g0,6-1,300,0.001,opls,3,1.651757952753171e-06,2.639110349331765e-06,1.423490407260601e-06,2.895132986648033e-06,1.064110004433426e-06,3.759784861636822e-07,-147.6520192560872,-447.11869701886,147.0187552072199,-229.1312326624734,109.4203762908461,29.32233637910519
4000,g0,6-1,300,0.001,opls,3,1.651757952753171e-06,2.639110349331765e-06,1.423490407260601e-06,2.895132986648033e-06,1.064110004433426e-06,3.759784861636822e-07,-40.05877979413841,-444.0741719054399,242.2044412938549,-243.0029280775828,101.3059935686228,4.808217623102045
4000,g0,6-1,300,0.001,opls,3,1.651757952753171e-06,2.639110349331765e-06,1.423490407260601e-06,2.895132986648033e-06,1.064110004433426e-06,3.759784861636822e-07,69.84944157459381,-387.7318143356737,392.6531818914432,-157.8018983320881,83.19904499696035,-7.35354795326257
4000,g0,6-1,300,0.001,opls,3,1.651757952753171e-06,2.639110349331765e-06,1.423490407260601e-06,2.895132986648033e-06,1.064110004433426e-06,3.759784861636822e-07,154.0506778089236,-286.0629887405587,537.4185473389161,-9.128019810552683,53.51919421236656,10.58635202114317
4000,g0,6-1,300,0.001,opls,3,1.651757952753171e-06,2.639110349331765e-06,1.423490407260601e-06,2.895132986648033e-06,1.064110004433426e-06,3.759784861636822e-07,208.2780886945977,-143.1613722324253,593.6730851167944,153.6049030761644,17.70316570938849,65.55995491205232
4000,g0,6-1,300,0.001,opls,3,1.651757952753171e-06,2.639110349331765e-06,1.423490407260601e-06,2.895132986648033e-06,1.064110004433426e-06,3.759784861636822e-07,241.6615682634631,20.47748856096457,505.0721318195122,315.1674130162581,-35.09527056241171,145.7542558930058
4000,g0,6-1,300,0.001,opls,3,1.651757952753171e-06,2.639110349331765e-06,1.423490407260601e-06,2.895132986648033e-06,1.064110004433426e-06,3.759784861636822e-07,237.7090199084817,168.8542386706457,274.5744731420228,469.144357933479,-112.5679917980722,235.9154727579887
4000,g0,6-1,300,0.001,opls,3,1.651757952753171e-06,2.639110349331765e-06,1.423490407260601e-06,2.895132986648033e-06,1.064110004433426e-06,3.759784861636822e-07,171.8591296462842,265.8410558678505,-26.35120657240921,607.4781102979823,-208.6831889585255,309.5541172680671
4000,g0,6-1,300,0.001,opls,3,1.651757952753171e-06,2.639110349331765e-06,1.423490407260601e-06,2.895132986648033e-06,1.064110004433426e-06,3.759784861636822e-07,51.54050431884536,293.2026546652945,-298.3580924768107,695.2085758644002,-309.8976735421583,329.1994546030666
4000,g0,6-1,300,0.001,opls,3,1.651757952753171e-06,2.639110349331765e-06,1.423490407260601e-06,2.895132986648033e-06,1.064110004433426e-06,3.759784861636822e-07,-87.64356722775652,259.0275187894957,-466.130511408499,694.1019754325911,-391.0409171021904,281.663445780955
4000,g0,6-1,300,0.001,opls,3,1.651757952753171e-06,2.639110349331765e-06,1.423490407260601e-06,2.895132986648033e-06,1.064110004433426e-06,3.759784861636822e-07,-215.3393518715987,209.1561476612619,-503.1896106422665,604.9240840760074,-440.5191620939927,199.6152764361252
4000,g0,6-1,300,0.001,opls,3,1.651757952753171e-06,2.639110349331765e-06,1.423490407260601e-06,2.895132986648033e-06,1.064110004433426e-06,3.759784861636822e-07,-310.6200110458335,202.2162043625436,-421.3041901603335,439.238922115833,-449.3471725903198,120.5497208090703
4000,g0,6-1,300,0.001,opls,3,1.651757952753171e-06,2.639110349331765e-06,1.423490407260601e-06,2.895132986648033e-06,1.064110004433426e-06,3.759784861636822e-07,-345.0077782572282,236.9316223066126,-260.7518511836108,245.1281609975343,-414.9137238876547,61.15491558716928
4000,g0,6-1,300,0.001,opls,3,1.651757952753171e-06,2.639110349331765e-06,1.423490407260601e-06,2.895132986648033e-06,1.064110004433426e-06,3.759784861636822e-07,-316.1476864328183,259.9464870365624,-83.86430048789498,71.93543083210568,-346.286891145202,36.15878672703114
4000,g0,6-1,300,0.001,opls,3,1.651757952753171e-06,2.639110349331765e-06,1.423490407260601e-06,2.895132986648033e-06,1.064110004433426e-06,3.759784861636822e-07,-249.4019493683845,242.1482632966343,67.97777189614071,-44.7417537354585,-271.9431437255367,62.08106133624521
4000,g0,6-1,300,0.001,opls,3,1.651757952753171e-06,2.639110349331765e-06,1.423490407260601e-06,2.895132986648033e-06,1.064110004433426e-06,3.759784861636822e-07,-181.7168368250688,209.0248711520927,188.4049038647323,-83.45967446352479,-223.7538081044702,129.3228251342646
4000,g0,6-1,300,0.001,opls,3,1.651757952753171e-06,2.639110349331765e-06,1.423490407260601e-06,2.895132986648033e-06,1.064110004433426e-06,3.759784861636822e-07,-120.8859908816024,182.2942701930475,267.3277074457922,-41.13747116863941,-215.4115484432964,205.9364366881513
4000,g0,6-1,300,0.001,opls,3,1.651757952753171e-06,2.639110349331765e-06,1.423490407260601e-06,2.895132986648033e-06,1.064110004433426e-06,3.759784861636822e-07,-44.17314532566155,132.8831474758657,276.8407435386566,91.93438796049416,-233.4996334758972,258.9884697153825
