qp_id,material_id,time_id,temperature,strain_rate,force_field,replica_id,strain_00,strain_01,strain_02,strain_11,strain_12,strain_22,stess-sample_00,stess-sample_01,stess-sample_02,stess-sample_11,stess-sample_12,stess-sample_22
28000,g0,6-1,300,0.001,opls,8,-6.578500113976283e-08,-2.291737724205351e-08,-1.080003167820664e-09,1.701710581421098e-08,9.255722914374049e-09,5.816188191860112e-09,-218.791243876462,-72.92260002836832,223.3912651570615,50.47575780820731,-99.87545490230708,27.94230478913208
28000,g0,6-1,300,0.001,opls,8,-6.578500113976283e-08,-2.291737724205351e-08,-1.080003167820664e-09,1.701710581421098e-08,9.255722914374049e-09,5.816188191860112e-09,-265.0128542108906,-215.2539313625857,209.2802289613875,-6.285974301555513,-1.141915156910701,57.75228190728561
28000,g0,6-1,300,0.001,opls,8,-6.578500113976283e-08,-2.291737724205351e-08,-1.080003167820664e-09,1.701710581421098e-08,9.255722914374049e-09,5.816188191860112e-09,-271.6727872794245,-319.7086045526688,157.6712806004535,-64.2593946064803,75.78303540162628,71.03818277195472
28000,g0,6-1,300,0.001,opls,8,-6.578500113976283e-08,-2.291737724205351e-08,-1.080003167820664e-09,1.701710581421098e-08,9.255722914374049e-09,5.816188191860112e-09,-228.8393714842836,-398.9480485593808,123.1347516464935,-146.1340018668062,108.387604485805,56.08862566334189
28000,g0,6-1,300,0.001,opls,8,-6.578500113976283e-08,-2.291737724205351e-08,-1.080003167820664e-09,1.701710581421098e-08,9.255722914374049e-09,5.816188191860112e-09,-147.4170555054251,-447.0727928217775,147.0410575567626,-229.0487104441272,109.5154507401254,29.41060103235874
28000,g0,6-1,300,0.001,opls,8,-6.578500113976283e-08,-2.291737724205351e-08,-1.080003167820664e-09,1.701710581421098e-08,9.255722914374049e-09,5.816188191860112e-09,-39.93177135882427,-444.0399633188413,242.223350565401,-242.9635359680082,101.4371760103395,4.883563012539225
28000,g0,6-1,300,0.001,opls,8,-6.578500113976283e-08,-2.291737724205351e-08,-1.080003167820664e-09,1.701710581421098e-08,9.255722914374049e-09,5.816188191860112e-09,70.00354965997582,-387.7027633625498,392.673735628713,-157.7416225705003,83.45658741056728,-7.283849842927459
28000,g0,6-1,300,0.001,opls,8,-6.578500113976283e-08,-2.291737724205351e-08,-1.080003167820664e-09,1.701710581421098e-08,9.255722914374049e-09,5.816188191860112e-09,154.339606474441,-286.0218881827096,537.453002093943,-8.941796785494649,53.98073600094858,10.66840280919754
28000,g0,6-1,300,0.001,opls,8,-6.578500113976283e-08,-2.291737724205351e-08,-1.080003167820664e-09,1.701710581421098e-08,9.255722914374049e-09,5.816188191860112e-09,208.807989549475,-143.0933483486631,593.7333418777846,154.0101019986845,18.39197560067806,65.66718283979633
28000,g0,6-1,300,0.001,opls,8,-6.578500113976283e-08,-2.291737724205351e-08,-1.080003167820664e-09,1.701710581421098e-08,9.255722914374049e-09,5.816188191860112e-09,242.4042774486384,20.5456061041886,505.1232681598309,315.7691670651446,-34.18267715285316,145.8602761876127
