qp_id,material_id,time_id,temperature,strain_rate,force_field,replica_id,strain_00,strain_01,strain_02,strain_11,strain_12,strain_22,stess-sample_00,stess-sample_01,stess-sample_02,stess-sample_11,stess-sample_12,stess-sample_22
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,-847.1843393908956,65.72743318260497,-440.9379152322049,-72.1836631342633,-366.562197285391,236.6583112271673
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,-730.8508001797645,7.558140130991517,-341.9567687903172,-69.03712183088604,-422.4948497150933,173.709473765736
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,-471.5217604887072,-109.7343803189199,-233.117979877322,-5.443171752570561,-478.1948184522468,59.92105793445696
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,-154.3101401770607,-203.4782009170468,-132.2538543356642,96.53762151911681,-504.8561513313463,-76.22686643157076
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,155.4399822108521,-230.4819108451635,-51.10778784130896,237.1602728766962,-488.116215294159,-219.9620500577686
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,396.804815395022,-182.1911063452011,17.26660181271798,383.81468202001,-435.94045555202,-352.5115226788802
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,516.3377426045213,-73.47354912842982,82.83417464397051,476.5025205596363,-340.7782216871835,-434.9633260255437
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,515.8243005441653,47.65916448091001,141.6451849729121,497.9433576310799,-197.1791830833803,-428.1239601281146
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,457.6367141230983,123.5180453670101,173.7706524769735,482.5235589540851,-24.15506242997198,-339.6766315753919
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,393.4398504527695,137.468804423136,158.2032790008558,459.9527002570708,165.4903323503967,-216.3963017406716
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,340.4238635099206,109.3567894446956,104.5752279266051,453.9847943714701,354.7839515961643,-95.0223512799422
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,285.6504631948172,58.13835692745648,48.43981111716642,478.6033693973979,484.1820533024533,12.35342131457143
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,217.6522385919328,-7.316724337114759,12.70370334714094,518.4224721826581,484.6417944425879,104.1784568638191
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,159.9621083817559,-64.7350101972994,-22.73046565336099,552.1292744799313,345.0282241355593,175.1012960126734
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,133.1244836877951,-90.39402352922035,-87.34479188020154,545.2138834298851,129.7420624319071,212.6997987452633
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,100.8504436414516,-80.00629188536796,-171.6824622281646,469.1666082646205,-79.65420585312846,209.9534536444317
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,15.50871799614296,-46.38873301567632,-236.3631697993847,318.151710982435,-251.2322338018012,182.3475701868252
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,-118.7049336225602,-12.47782915646258,-266.5429960009274,98.56084114248377,-417.4520863043105,164.784883219015
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,-244.0409300219538,7.286018555686513,-295.8335871986469,-169.2682034548999,-597.4006875973017,170.9551678473946
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,-295.3518020186816,17.5671353451081,-363.9283904053511,-436.232681951705,-745.2129532985075,177.1464670951717
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,-253.3252404978386,29.01904417195943,-457.1868745202954,-642.1604449141473,-794.2995457327467,153.1904640995658
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,-176.2089377395191,49.06708762576427,-521.7908274127266,-767.2209366360178,-719.3038350676082,92.54944760097953
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,-154.527745701864,91.30387764655217,-516.2590814545566,-819.2471877969147,-540.3235811674261,14.17273633587152
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,-237.9919492964851,169.7472967853399,-430.8026069866789,-767.5902082804181,-297.3677099970167,-44.2374698199112
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,-404.3650683361678,274.3483631513113,-286.8913689835142,-580.5682153194766,0.4542717590721455,-53.09830654984851
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,-593.5782318082375,368.8352118683972,-126.594009097514,-262.4491587739055,336.860877937635,-17.43905141089314
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,-757.0917135037264,421.4045313212854,4.113167431109365,134.2517135226909,643.127222731623,33.54747393532526
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,-844.8180792290045,406.4523774000082,83.20678528803428,525.8185108155795,818.6578692600415,80.53525239513685
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,-808.0475289129553,297.7038190488535,109.1180522809011,823.7907452745949,819.2728135136093,117.6078039190089
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,-649.6505708777071,98.68730350167387,74.58212881543459,975.1555000814337,684.2192428275291,139.0736787971831
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,-414.0302461674896,-144.6988740043665,-24.51734246300792,993.3499900424359,459.120621397249,155.2382426927233
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,-162.0330393047541,-361.0186498414375,-180.2955493543027,900.0074600514403,167.8301882043029,181.7761747956041
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,46.76400666382675,-468.5859889208416,-374.4334586787169,673.2094914045475,-146.7108397275987,225.0469802240536
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,156.4067540888507,-420.878596562129,-576.5134342233293,316.5467641280308,-413.6125904903376,291.7603968311053
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,129.5269788649509,-250.7043607950697,-748.2762183025566,-110.6462994225508,-578.6092395863243,390.0660523191578
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,-17.03842159291935,-44.63916071738632,-844.4471890179809,-526.1675784396864,-626.7078948539088,498.2861862453892
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,-226.0937979216338,120.7851517229091,-841.6436163075854,-858.4719280996991,-588.4655996798275,569.7512926403251
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,-437.8740067918557,215.9572014692669,-757.9693353800624,-1075.092987734648,-502.0930937514805,591.9874471513062
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,-577.948747065117,235.7535570919094,-626.0142018646194,-1181.496615917669,-387.8906586167057,604.6304243183127
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,-605.3677940626053,171.4862356800812,-467.8924226222616,-1185.597668585679,-242.8038102793864,639.6893728997749
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,-540.6898903205719,37.71805161091786,-295.496204218244,-1108.12980545049,-68.1891375587863,683.8854397990117
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,-434.395453302895,-96.12477378357387,-127.054555806044,-985.2760682253886,122.9875777305596,716.4771712822545
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,-314.0103196591113,-149.7546280475788,21.56558978653221,-848.7503012686557,323.6307154158451,740.819390847863
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,-187.0415811447759,-103.1124171404599,139.0925618896075,-716.1373680037188,540.0717745028926,768.5469720494626
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,-61.25627989331485,-0.8328486307484191,205.8246848621376,-596.0956895725575,750.1419795976408,798.6498103405103
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,64.07429281458691,95.1913933477333,209.7999924210873,-477.0811619837554,869.9259895543244,794.8876863894111
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,171.9017189600633,149.5802917363222,162.6219508806334,-340.0751946976529,841.6616145083242,711.8159270988344
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,239.938792056839,150.5073053259369,93.14727898552439,-178.6238028408006,691.7674971713706,541.4435319102688
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,277.0159680941032,104.5253601708785,24.12546988649214,-11.04728271480992,472.0976616119038,306.5864985303728
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,273.7606802290396,23.28707026604258,-21.0457751243442,132.0996949537027,220.6269966471524,60.12166709348345
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,209.2819709894259,-74.62219169878274,-27.61585142813588,231.4750462863717,-31.49428722756337,-133.8138850449924
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,104.5949618801198,-165.9794532955346,-8.606608709132905,281.6196953085076,-262.6681517442354,-233.0339503515325
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,-18.07078848859203,-221.7359648645179,5.696941408945821,269.1816326269545,-449.3625994936704,-240.7055398080261
20000,g0,5-1,300,0.001,opls,9,4.00295690848738e-07,2.675075951293147e-06,8.596634449853451e-07,5.895332226777115e-06,9.614779047999649e-07,-1.161618617774886e-09,-147.3116568388259,-229.297640613452,13.17599209776982,194.2685933077777,-588.0777749420552,-200.7716418202853
