qp_id,material_id,time_id,temperature,strain_rate,force_field,replica_id,strain_00,strain_01,strain_02,strain_11,strain_12,strain_22,stess-sample_00,stess-sample_01,stess-sample_02,stess-sample_11,stess-sample_12,stess-sample_22
32000,g0,5-1,300,0.001,opls,4,-2.27676485209822e-05,6.382537913941006e-06,2.175969291190013e-06,2.135100112139194e-06,-3.693334471452285e-08,4.468560772368031e-07,-841.453540305728,65.32523722108073,-440.7005602137483,-68.24187945631722,-356.9240442328399,235.8731178321575
32000,g0,5-1,300,0.001,opls,4,-2.27676485209822e-05,6.382537913941006e-06,2.175969291190013e-06,2.135100112139194e-06,-3.693334471452285e-08,4.468560772368031e-07,-726.8372804769942,7.23053785380719,-341.7529824889288,-66.26812738152418,-416.4757602285681,173.1499265547943
32000,g0,5-1,300,0.001,opls,4,-2.27676485209822e-05,6.382537913941006e-06,2.175969291190013e-06,2.135100112139194e-06,-3.693334471452285e-08,4.468560772368031e-07,-469.0564761789723,-110.0376543650159,-232.9548352556735,-3.761010200530102,-474.9260451109196,59.55322772609325
32000,g0,5-1,300,0.001,opls,4,-2.27676485209822e-05,6.382537913941006e-06,2.175969291190013e-06,2.135100112139194e-06,-3.693334471452285e-08,4.468560772368031e-07,-153.0376970467894,-203.7174238995519,-132.1007827354364,97.36459989440387,-503.42108169637,-76.44108901759327
32000,g0,5-1,300,0.001,opls,4,-2.27676485209822e-05,6.382537913941006e-06,2.175969291190013e-06,2.135100112139194e-06,-3.693334471452285e-08,4.468560772368031e-07,155.9062441018837,-230.7215006205183,-50.97057239929636,237.3898548084446,-487.3238658526125,-220.0950566445006
32000,g0,5-1,300,0.001,opls,4,-2.27676485209822e-05,6.382537913941006e-06,2.175969291190013e-06,2.135100112139194e-06,-3.693334471452285e-08,4.468560772368031e-07,397.0466124075896,-182.4236604112206,17.4208868152193,383.8482421344223,-435.0192131735226,-352.6090040867952
32000,g0,5-1,300,0.001,opls,4,-2.27676485209822e-05,6.382537913941006e-06,2.175969291190013e-06,2.135100112139194e-06,-3.693334471452285e-08,4.468560772368031e-07,516.7366950731789,-73.70707739834532,82.98738624648043,476.7300183649622,-338.9837549745051,-435.0619790664118
32000,g0,5-1,300,0.001,opls,4,-2.27676485209822e-05,6.382537913941006e-06,2.175969291190013e-06,2.135100112139194e-06,-3.693334471452285e-08,4.468560772368031e-07,516.8310482493864,47.45055231491082,141.7984781714319,498.7330124829287,-194.0811577895861,-428.2406792273541
32000,g0,5-1,300,0.001,opls,4,-2.27676485209822e-05,6.382537913941006e-06,2.175969291190013e-06,2.135100112139194e-06,-3.693334471452285e-08,4.468560772368031e-07,459.6602488848135,123.3243435582401,173.9243761879743,484.2068662358,-19.62992359000397,-339.772271185881
32000,g0,5-1,300,0.001,opls,4,-2.27676485209822e-05,6.382537913941006e-06,2.175969291190013e-06,2.135100112139194e-06,-3.693334471452285e-08,4.468560772368031e-07,396.6838602915208,137.2979040177638,158.332126191579,462.796476949499,171.3032840793526,-216.5135981111764
32000,g0,5-1,300,0.001,opls,4,-2.27676485209822e-05,6.382537913941006e-06,2.175969291190013e-06,2.135100112139194e-06,-3.693334471452285e-08,4.468560772368031e-07,344.8417699279329,109.2343492071733,104.7037770482966,458.0697846706041,361.5396042775934,-95.10900634372075
32000,g0,5-1,300,0.001,opls,4,-2.27676485209822e-05,6.382537913941006e-06,2.175969291190013e-06,2.135100112139194e-06,-3.693334471452285e-08,4.468560772368031e-07,291.2170548990944,58.01162369132764,48.56043655374284,483.8495972690285,491.4674637244134,12.2757285014303
32000,g0,5-1,300,0.001,opls,4,-2.27676485209822e-05,6.382537913941006e-06,2.175969291190013e-06,2.135100112139194e-06,-3.693334471452285e-08,4.468560772368031e-07,224.0659012266896,-7.393084603190413,12.82161269928518,524.625767981292,491.9476149305403,104.1427882376837
32000,g0,5-1,300,0.001,opls,4,-2.27676485209822e-05,6.382537913941006e-06,2.175969291190013e-06,2.135100112139194e-06,-3.693334471452285e-08,4.468560772368031e-07,166.8533772502379,-64.75839648980431,-22.61265718551406,558.856138923883,351.8339201465866,175.1316552773279
32000,g0,5-1,300,0.001,opls,4,-2.27676485209822e-05,6.382537913941006e-06,2.175969291190013e-06,2.135100112139194e-06,-3.693334471452285e-08,4.468560772368031e-07,139.9636381111752,-90.38659307660745,-87.26650150405946,552.051364736293,135.599998772605,212.7693500580351
32000,g0,5-1,300,0.001,opls,4,-2.27676485209822e-05,6.382537913941006e-06,2.175969291190013e-06,2.135100112139194e-06,-3.693334471452285e-08,4.468560772368031e-07,107.1941546407784,-79.98929957724476,-171.6028609834249,475.6284317284992,-75.08876133616967,210.0865698714907
32000,g0,5-1,300,0.001,opls,4,-2.27676485209822e-05,6.382537913941006e-06,2.175969291190013e-06,2.135100112139194e-06,-3.693334471452285e-08,4.468560772368031e-07,20.90793435022769,-46.38018676525433,-236.2896522311985,323.7138323699939,-248.2744248987904,182.4837708460117
32000,g0,5-1,300,0.001,opls,4,-2.27676485209822e-05,6.382537913941006e-06,2.175969291190013e-06,2.135100112139194e-06,-3.693334471452285e-08,4.468560772368031e-07,-114.699364560623,-12.46371126542737,-266.504738969336,102.8009938841809,-416.2330194891736,164.929460877464
32000,g0,5-1,300,0.001,opls,4,-2.27676485209822e-05,6.382537913941006e-06,2.175969291190013e-06,2.135100112139194e-06,-3.693334471452285e-08,4.468560772368031e-07,-241.6534167181879,7.258255838345836,-295.8011563258642,-166.5738004464454,-597.7577861683798,171.1099432056853
32000,g0,5-1,300,0.001,opls,4,-2.27676485209822e-05,6.382537913941006e-06,2.175969291190013e-06,2.135100112139194e-06,-3.693334471452285e-08,4.468560772368031e-07,-294.6370746824517,17.54301919282868,-363.9257206070137,-435.2908519934135,-746.9730683633833,177.305937048093
32000,g0,5-1,300,0.001,opls,4,-2.27676485209822e-05,6.382537913941006e-06,2.175969291190013e-06,2.135100112139194e-06,-3.693334471452285e-08,4.468560772368031e-07,-254.1928301459824,28.97307313122955,-457.1852510213361,-642.8513958972806,-797.2409848264329,153.3032695188349
32000,g0,5-1,300,0.001,opls,4,-2.27676485209822e-05,6.382537913941006e-06,2.175969291190013e-06,2.135100112139194e-06,-3.693334471452285e-08,4.468560772368031e-07,-178.4725956966041,48.98012409772616,-521.7980281126388,-769.385811000757,-723.0026913094164,92.63159464715031
32000,g0,5-1,300,0.001,opls,4,-2.27676485209822e-05,6.382537913941006e-06,2.175969291190013e-06,2.135100112139194e-06,-3.693334471452285e-08,4.468560772368031e-07,-157.8467299208094,91.19843208047179,-516.2950378276279,-822.501587775054,-544.2272923750645,14.28392783952259
32000,g0,5-1,300,0.001,opls,4,-2.27676485209822e-05,6.382537913941006e-06,2.175969291190013e-06,2.135100112139194e-06,-3.693334471452285e-08,4.468560772368031e-07,-241.8570490551916,169.5780628266577,-430.8357510505935,-771.4054216812302,-301.1032611763404,-44.18727933260605
32000,g0,5-1,300,0.001,opls,4,-2.27676485209822e-05,6.382537913941006e-06,2.175969291190013e-06,2.135100112139194e-06,-3.693334471452285e-08,4.468560772368031e-07,-408.3117534201904,274.1924104913994,-286.9393732449274,-584.5404702559658,-2.648753906090965,-53.10875599460179
32000,g0,5-1,300,0.001,opls,4,-2.27676485209822e-05,6.382537913941006e-06,2.175969291190013e-06,2.135100112139194e-06,-3.693334471452285e-08,4.468560772368031e-07,-597.1016643905574,368.7116900266986,-126.6245756582377,-266.03555331374,334.6688588809007,-17.451112197739
32000,g0,5-1,300,0.001,opls,4,-2.27676485209822e-05,6.382537913941006e-06,2.175969291190013e-06,2.135100112139194e-06,-3.693334471452285e-08,4.468560772368031e-07,-759.7165149199707,421.3094179033517,4.084424353554979,131.5119805735131,642.1462401582423,33.51584301847616
32000,g0,5-1,300,0.001,opls,4,-2.27676485209822e-05,6.382537913941006e-06,2.175969291190013e-06,2.135100112139194e-06,-3.693334471452285e-08,4.468560772368031e-07,-846.2848813915784,406.3936691863763,83.21348018110692,524.2959508401328,818.9380202764009,80.53479272331793
32000,g0,5-1,300,0.001,opls,4,-2.27676485209822e-05,6.382537913941006e-06,2.175969291190013e-06,2.135100112139194e-06,-3.693334471452285e-08,4.468560772368031e-07,-808.1260120857257,297.7055954312427,109.1311065519873,823.6715003326677,820.8031828693631,117.6005778575027
32000,g0,5-1,300,0.001,opls,4,-2.27676485209822e-05,6.382537913941006e-06,2.175969291190013e-06,2.135100112139194e-06,-3.693334471452285e-08,4.468560772368031e-07,-648.278332125476,98.63407216309173,74.61541032809373,976.4404157025755,686.986464140255,139.0592034786189
32000,g0,5-1,300,0.001,opls,4,-2.27676485209822e-05,6.382537913941006e-06,2.175969291190013e-06,2.135100112139194e-06,-3.693334471452285e-08,4.468560772368031e-07,-411.3158075446643,-144.7117927887528,-24.49871392490519,995.9661942543601,462.8401964224409,155.2547637253691
32000,g0,5-1,300,0.001,opls,4,-2.27676485209822e-05,6.382537913941006e-06,2.175969291190013e-06,2.135100112139194e-06,-3.693334471452285e-08,4.468560772368031e-07,-158.218612377506,-361.0415876008693,-180.2479601400984,903.6896768960156,172.1880381028371,181.766950565004
32000,g0,5-1,300,0.001,opls,4,-2.27676485209822e-05,6.382537913941006e-06,2.175969291190013e-06,2.135100112139194e-06,-3.693334471452285e-08,4.468560772368031e-07,51.30900410720595,-468.5769542144575,-374.3839829738833,677.6296512183072,-142.0145817169407,225.0280519875374
32000,g0,5-1,300,0.001,opls,4,-2.27676485209822e-05,6.382537913941006e-06,2.175969291190013e-06,2.135100112139194e-06,-3.693334471452285e-08,4.468560772368031e-07,161.2840781165549,-420.8839362178502,-576.4656070644434,321.2968108418261,-408.928672017951,291.7577796492927
32000,g0,5-1,300,0.001,opls,4,-2.27676485209822e-05,6.382537913941006e-06,2.175969291190013e-06,2.135100112139194e-06,-3.693334471452285e-08,4.468560772368031e-07,134.3113445709747,-250.7234844391321,-748.210875977128,-106.0382401974185,-574.2929998768392,390.037105746367
32000,g0,5-1,300,0.001,opls,4,-2.27676485209822e-05,6.382537913941006e-06,2.175969291190013e-06,2.135100112139194e-06,-3.693334471452285e-08,4.468560772368031e-07,-12.73080489485417,-44.65679589826016,-844.3800791081479,-522.0661413743924,-623.0630775880775,498.2557611083117
32000,g0,5-1,300,0.001,opls,4,-2.27676485209822e-05,6.382537913941006e-06,2.175969291190013e-06,2.135100112139194e-06,-3.693334471452285e-08,4.468560772368031e-07,-222.5638299685163,120.7951246207777,-841.5661180040642,-855.2495717701071,-585.7305566480084,569.711281098722
32000,g0,5-1,300,0.001,opls,4,-2.27676485209822e-05,6.382537913941006e-06,2.175969291190013e-06,2.135100112139194e-06,-3.693334471452285e-08,4.468560772368031e-07,-435.4574962220797,215.9229755492497,-757.9712636960012,-1072.991365351934,-500.4722831295015,591.920823313906
32000,g0,5-1,300,0.001,opls,4,-2.27676485209822e-05,6.382537913941006e-06,2.175969291190013e-06,2.135100112139194e-06,-3.693334471452285e-08,4.468560772368031e-07,-576.7879680926343,235.7207594285279,-626.0390961443727,-1180.707034378054,-387.2435394427299,604.521151917996
32000,g0,5-1,300,0.001,opls,4,-2.27676485209822e-05,6.382537913941006e-06,2.175969291190013e-06,2.135100112139194e-06,-3.693334471452285e-08,4.468560772368031e-07,-605.4083242706203,171.4295148839763,-467.9161349143254,-1185.996648574618,-243.1016523615646,639.5644196946839
32000,g0,5-1,300,0.001,opls,4,-2.27676485209822e-05,6.382537913941006e-06,2.175969291190013e-06,2.135100112139194e-06,-3.693334471452285e-08,4.468560772368031e-07,-541.8906210780069,37.64254333884939,-295.4933826901489,-1109.686714980294,-69.16804581462208,683.7690074285459
32000,g0,5-1,300,0.001,opls,4,-2.27676485209822e-05,6.382537913941006e-06,2.175969291190013e-06,2.135100112139194e-06,-3.693334471452285e-08,4.468560772368031e-07,-436.4257405163304,-96.23996229310173,-127.0446442073963,-987.7260111054983,121.608503396843,716.3930638150597
32000,g0,5-1,300,0.001,opls,4,-2.27676485209822e-05,6.382537913941006e-06,2.175969291190013e-06,2.135100112139194e-06,-3.693334471452285e-08,4.468560772368031e-07,-316.6537204190413,-149.8747224758694,21.57104935904537,-851.8816071799813,322.1014145166523,740.7268385045979
32000,g0,5-1,300,0.001,opls,4,-2.27676485209822e-05,6.382537913941006e-06,2.175969291190013e-06,2.135100112139194e-06,-3.693334471452285e-08,4.468560772368031e-07,-189.9461292208373,-103.2093653100399,139.1085539127539,-719.5196625172424,538.8596568024331,768.4376695813349
32000,g0,5-1,300,0.001,opls,4,-2.27676485209822e-05,6.382537913941006e-06,2.175969291190013e-06,2.135100112139194e-06,-3.693334471452285e-08,4.468560772368031e-07,-64.00351583961854,-0.9775705939803018,205.8228642210843,-599.2570966693025,749.3913183039056,798.5375118323898
