qp_id,material_id,time_id,temperature,strain_rate,force_field,replica_id,strain_00,strain_01,strain_02,strain_11,strain_12,strain_22,stess-sample_00,stess-sample_01,stess-sample_02,stess-sample_11,stess-sample_12,stess-sample_22
5000,g0,6-1,300,0.001,opls,3,3.424533709890293e-07,5.629942253254856e-07,-3.986769213443419e-08,1.434336246276081e-06,-5.3283826330388e-08,-1.666739376903025e-08,-219.6736163048443,-72.91461436612177,223.4110668932495,50.19682003474162,-100.2008464056113,27.81405587508747
5000,g0,6-1,300,0.001,opls,3,3.424533709890293e-07,5.629942253254856e-07,-3.986769213443419e-08,1.434336246276081e-06,-5.3283826330388e-08,-1.666739376903025e-08,-265.6065598748709,-215.2472704463368,209.2854772139924,-6.482073474196469,-1.347527816956542,57.66005807410932
5000,g0,6-1,300,0.001,opls,3,3.424533709890293e-07,5.629942253254856e-07,-3.986769213443419e-08,1.434336246276081e-06,-5.3283826330388e-08,-1.666739376903025e-08,-272.0452912248684,-319.702580172719,157.6862507741362,-64.38224890851657,75.67921397077049,70.97924939597539
5000,g0,6-1,300,0.001,opls,3,3.424533709890293e-07,5.629942253254856e-07,-3.986769213443419e-08,1.434336246276081e-06,-5.3283826330388e-08,-1.666739376903025e-08,-229.0279764563539,-398.9433778867727,123.1430295895984,-146.1980633768981,108.3416170926886,56.0557465429816
5000,g0,6-1,300,0.001,opls,3,3.424533709890293e-07,5.629942253254856e-07,-3.986769213443419e-08,1.434336246276081e-06,-5.3283826330388e-08,-1.666739376903025e-08,-147.5218813616522,-447.0709978878508,147.0434972460539,-229.076367749873,109.4902836295087,29.38753841137165
5000,g0,6-1,300,0.001,opls,3,3.424533709890293e-07,5.629942253254856e-07,-3.986769213443419e-08,1.434336246276081e-06,-5.3283826330388e-08,-1.666739376903025e-08,-39.99437144047643,-444.0393225994137,242.2251002951416,-242.9779801666798,101.4004724731547,4.86690329154064
5000,g0,6-1,300,0.001,opls,3,3.424533709890293e-07,5.629942253254856e-07,-3.986769213443419e-08,1.434336246276081e-06,-5.3283826330388e-08,-1.666739376903025e-08,69.93313091118394,-387.7040194248867,392.6738384493814,-157.7676395533687,83.375509081975,-7.301975145025255
5000,g0,6-1,300,0.001,opls,3,3.424533709890293e-07,5.629942253254856e-07,-3.986769213443419e-08,1.434336246276081e-06,-5.3283826330388e-08,-1.666739376903025e-08,154.2239710252582,-286.0240292371211,537.456932277762,-9.009330658885062,53.82547147692279,10.6517798210679
5000,g0,6-1,300,0.001,opls,3,3.424533709890293e-07,5.629942253254856e-07,-3.986769213443419e-08,1.434336246276081e-06,-5.3283826330388e-08,-1.666739376903025e-08,208.5862293585684,-143.1088363033808,593.7189193873442,153.8498674679276,18.15785379154833,65.63980217811832
5000,g0,6-1,300,0.001,opls,3,3.424533709890293e-07,5.629942253254856e-07,-3.986769213443419e-08,1.434336246276081e-06,-5.3283826330388e-08,-1.666739376903025e-08,242.1201425110696,20.53635288525637,505.123032641954,315.5555962289864,-34.49552191558634,145.8415297202947
5000,g0,6-1,300,0.001,opls,3,3.424533709890293e-07,5.629942253254856e-07,-3.986769213443419e-08,1.434336246276081e-06,-5.3283826330388e-08,-1.666739376903025e-08,238.2983341745025,168.913315456069,274.6235060302469,469.6819693728658,-111.848776715413,235.9976003716125
5000,g0,6-1,300,0.001,opls,3,3.424533709890293e-07,5.629942253254856e-07,-3.986769213443419e-08,1.434336246276081e-06,-5.3283826330388e-08,-1.666739376903025e-08,172.5939322675251,265.8955179777835,-26.31511877573779,608.1539831322406,-207.8971281269369,309.6266468607932
