qp_id,material_id,time_id,temperature,strain_rate,force_field,replica_id,strain_00,strain_01,strain_02,strain_11,strain_12,strain_22,stess-sample_00,stess-sample_01,stess-sample_02,stess-sample_11,stess-sample_12,stess-sample_22
30000,g0,4-1,300,0.001,opls,5,1.529995725676153e-27,-1.520701958136517e-27,5.230209934294387e-14,-2.485207674285645e-27,3.917646091564405e-15,-1.760573360655336e-10,725.9647392167249,303.3536742054852,79.11583403593808,-105.106679111804,9.006216380696992,-185.7219892586887
30000,g0,4-1,300,0.001,opls,5,1.529995725676153e-27,-1.520701958136517e-27,5.230209934294387e-14,-2.485207674285645e-27,3.917646091564405e-15,-1.760573360655336e-10,856.2325145071521,224.3832504941699,184.7089649023346,-55.26893968647843,54.56063945223199,-265.5850146144283
30000,g0,4-1,300,0.001,opls,5,1.529995725676153e-27,-1.520701958136517e-27,5.230209934294387e-14,-2.485207674285645e-27,3.917646091564405e-15,-1.760573360655336e-10,926.4878810952428,112.9241959016294,272.5345884281038,-26.83969957013454,142.616654395158,-319.4878241677607
30000,g0,4-1,300,0.001,opls,5,1.529995725676153e-27,-1.520701958136517e-27,5.230209934294387e-14,-2.485207674285645e-27,3.917646091564405e-15,-1.760573360655336e-10,899.3075026940228,5.859095548435056,346.8482359673573,-42.69772358897061,247.4014355592522,-370.5016053824364
30000,g0,4-1,300,0.001,opls,5,1.529995725676153e-27,-1.520701958136517e-27,5.230209934294387e-14,-2.485207674285645e-27,3.917646091564405e-15,-1.760573360655336e-10,724.9512726416712,-72.36832446112216,408.7394031172579,-97.29512539623106,358.577833200211,-430.3439285684184
30000,g0,4-1,300,0.001,opls,5,1.529995725676153e-27,-1.520701958136517e-27,5.230209934294387e-14,-2.485207674285645e-27,3.917646091564405e-15,-1.760573360655336e-10,416.0382264569305,-123.1763054878268,443.5579983854958,-168.8662035237381,472.2750757546676,-476.1654485459111
30000,g0,4-1,300,0.001,opls,5,1.529995725676153e-27,-1.520701958136517e-27,5.230209934294387e-14,-2.485207674285645e-27,3.917646091564405e-15,-1.760573360655336e-10,71.09578168131026,-154.8749273039373,444.4095727765246,-248.71536670991,556.3341934101874,-477.4987371283638
30000,g0,4-1,300,0.001,opls,5,1.529995725676153e-27,-1.520701958136517e-27,5.230209934294387e-14,-2.485207674285645e-27,3.917646091564405e-15,-1.760573360655336e-10,-202.4879111333709,-154.3623921461819,409.3019389685311,-338.269802523683,559.4477480023971,-419.1753183429532
30000,g0,4-1,300,0.001,opls,5,1.529995725676153e-27,-1.520701958136517e-27,5.230209934294387e-14,-2.485207674285645e-27,3.917646091564405e-15,-1.760573360655336e-10,-372.8814610927226,-106.002638486094,343.9445413953995,-422.1699468884691,472.2615239419253,-307.8861626848446
30000,g0,4-1,300,0.001,opls,5,1.529995725676153e-27,-1.520701958136517e-27,5.230209934294387e-14,-2.485207674285645e-27,3.917646091564405e-15,-1.760573360655336e-10,-479.6598876270201,-29.30616216662846,265.6719793362644,-482.1910822788067,319.8149214248888,-166.4871029609751
