qp_id,material_id,time_id,temperature,strain_rate,force_field,replica_id,strain_00,strain_01,strain_02,strain_11,strain_12,strain_22,stess-sample_00,stess-sample_01,stess-sample_02,stess-sample_11,stess-sample_12,stess-sample_22
21000,g0,4-1,300,0.001,opls,5,-2.993671794139424e-15,-7.396240671555213e-15,5.19194474427364e-14,-6.118992319947635e-15,4.20436388647984e-15,-1.760575155079762e-10,725.9647392222141,303.353674205495,79.11583403680555,-105.1066791100703,9.006216383254131,-185.7219892565432
21000,g0,4-1,300,0.001,opls,5,-2.993671794139424e-15,-7.396240671555213e-15,5.19194474427364e-14,-6.118992319947635e-15,4.20436388647984e-15,-1.760575155079762e-10,856.2325145121154,224.3832504945798,184.7089649029968,-55.26893968527676,54.56063945387975,-265.5850146124893
21000,g0,4-1,300,0.001,opls,5,-2.993671794139424e-15,-7.396240671555213e-15,5.19194474427364e-14,-6.118992319947635e-15,4.20436388647984e-15,-1.760575155079762e-10,926.487881099889,112.9241959016066,272.534588428958,-26.83969956891597,142.616654396367,-319.4878241662797
21000,g0,4-1,300,0.001,opls,5,-2.993671794139424e-15,-7.396240671555213e-15,5.19194474427364e-14,-6.118992319947635e-15,4.20436388647984e-15,-1.760575155079762e-10,899.3075026979955,5.859095548681438,346.8482359682225,-42.69772358796518,247.4014355592674,-370.5016053806265
21000,g0,4-1,300,0.001,opls,5,-2.993671794139424e-15,-7.396240671555213e-15,5.19194474427364e-14,-6.118992319947635e-15,4.20436388647984e-15,-1.760575155079762e-10,724.9512726449143,-72.36832446083746,408.7394031177319,-97.29512539587002,358.5778331998318,-430.3439285671618
21000,g0,4-1,300,0.001,opls,5,-2.993671794139424e-15,-7.396240671555213e-15,5.19194474427364e-14,-6.118992319947635e-15,4.20436388647984e-15,-1.760575155079762e-10,416.0382264585479,-123.1763054869402,443.5579983846206,-168.8662035241946,472.2750757539188,-476.1654485448242
21000,g0,4-1,300,0.001,opls,5,-2.993671794139424e-15,-7.396240671555213e-15,5.19194474427364e-14,-6.118992319947635e-15,4.20436388647984e-15,-1.760575155079762e-10,71.09578168118597,-154.8749273028514,444.4095727756942,-248.7153667101783,556.3341934134683,-477.4987371276262
21000,g0,4-1,300,0.001,opls,5,-2.993671794139424e-15,-7.396240671555213e-15,5.19194474427364e-14,-6.118992319947635e-15,4.20436388647984e-15,-1.760575155079762e-10,-202.4879111175177,-154.3623921487902,409.3019389758805,-338.2698025193809,559.4477480108688,-419.1753183493539
21000,g0,4-1,300,0.001,opls,5,-2.993671794139424e-15,-7.396240671555213e-15,5.19194474427364e-14,-6.118992319947635e-15,4.20436388647984e-15,-1.760575155079762e-10,-372.8814610926978,-106.0026384849813,343.9445413930899,-422.1699468882503,472.2615239463347,-307.8861626858628
21000,g0,4-1,300,0.001,opls,5,-2.993671794139424e-15,-7.396240671555213e-15,5.19194474427364e-14,-6.118992319947635e-15,4.20436388647984e-15,-1.760575155079762e-10,-479.6598876271187,-29.30616216454811,265.6719793344469,-482.1910822763791,319.8149214295821,-166.4871029616006
21000,g0,4-1,300,0.001,opls,5,-2.993671794139424e-15,-7.396240671555213e-15,5.19194474427364e-14,-6.118992319947635e-15,4.20436388647984e-15,-1.760575155079762e-10,-554.8859419080726,21.73472829689904,191.3990209868061,-488.1536631857775,129.5194827433143,-23.12617539055665
21000,g0,4-1,300,0.001,opls,5,-2.993671794139424e-15,-7.396240671555213e-15,5.19194474427364e-14,-6.118992319947635e-15,4.20436388647984e-15,-1.760575155079762e-10,-603.867356768577,5.347647305386328,135.2763371847396,-402.8116475580928,-69.28256152353053,88.10953779341496
21000,g0,4-1,300,0.001,opls,5,-2.993671794139424e-15,-7.396240671555213e-15,5.19194474427364e-14,-6.118992319947635e-15,4.20436388647984e-15,-1.760575155079762e-10,-625.3446426470732,-64.36084154008041,106.7268856674842,-239.4485621089582,-216.2840454338776,147.1222341406676
21000,g0,4-1,300,0.001,opls,5,-2.993671794139424e-15,-7.396240671555213e-15,5.19194474427364e-14,-6.118992319947635e-15,4.20436388647984e-15,-1.760575155079762e-10,-618.2556109287444,-130.4868730074747,118.5081997716072,-70.69505754303711,-233.4688170713366,159.0238956002453
21000,g0,4-1,300,0.001,opls,5,-2.993671794139424e-15,-7.396240671555213e-15,5.19194474427364e-14,-6.118992319947635e-15,4.20436388647984e-15,-1.760575155079762e-10,-576.1643195290591,-141.0672678394993,162.7013610762734,28.45930111568121,-81.66734519415094,143.9786606640351
21000,g0,4-1,300,0.001,opls,5,-2.993671794139424e-15,-7.396240671555213e-15,5.19194474427364e-14,-6.118992319947635e-15,4.20436388647984e-15,-1.760575155079762e-10,-493.3165403484117,-84.85851877733307,198.2480581131744,58.32402442842706,195.4749668862116,119.9719173992891
21000,g0,4-1,300,0.001,opls,5,-2.993671794139424e-15,-7.396240671555213e-15,5.19194474427364e-14,-6.118992319947635e-15,4.20436388647984e-15,-1.760575155079762e-10,-375.7503728364526,12.55158034194041,198.3407564423685,76.1789601225981,490.5675236924245,93.46353583011725
21000,g0,4-1,300,0.001,opls,5,-2.993671794139424e-15,-7.396240671555213e-15,5.19194474427364e-14,-6.118992319947635e-15,4.20436388647984e-15,-1.760575155079762e-10,-241.7052680308067,109.8409548113695,172.4701299282075,139.4778293330517,694.12646099071,71.46419146797994
21000,g0,4-1,300,0.001,opls,5,-2.993671794139424e-15,-7.396240671555213e-15,5.19194474427364e-14,-6.118992319947635e-15,4.20436388647984e-15,-1.760575155079762e-10,-114.4720535604648,169.0480093187849,148.0356520887064,269.3632460251291,771.1053481325716,65.89808293626051
21000,g0,4-1,300,0.001,opls,5,-2.993671794139424e-15,-7.396240671555213e-15,5.19194474427364e-14,-6.118992319947635e-15,4.20436388647984e-15,-1.760575155079762e-10,1.728526859645332,179.058493666261,135.9846795215008,472.3443372281318,761.3159382614966,68.68922441954781
